aX,aY,aZ,gX,gY,gZ
0.186,-0.05,-1.336,-4.2,2.38,-13.44
0.209,-0.037,-1.316,-11.9,19.46,8.4
0.288,-0.046,-1.188,-19.88,28.77,25.76
0.424,-0.116,-0.963,-23.31,23.8,36.19
0.484,-0.204,-0.857,-20.58,12.81,40.32
0.508,-0.279,-0.814,-13.37,2.24,40.39
0.518,-0.342,-0.833,-6.02,-3.78,37.87
0.517,-0.4,-0.867,17.08,-5.18,32.9
0.519,-0.465,-0.873,5.46,-4.41,29.47
0.503,-0.489,-0.887,8.47,-2.17,27.44
0.505,-0.49,-0.891,10.08,-0.21,26.46
0.512,-0.503,-0.872,10.29,0.42,24.71
0.512,-0.522,-0.851,9.59,-1.54,21.0
0.52,-0.531,-0.834,8.19,-4.62,16.17
0.496,-0.532,-0.838,6.09,-6.51,10.71
0.473,-0.522,-0.848,4.55,-4.69,6.37
0.457,-0.506,-0.842,2.94,-1.82,4.06
0.456,-0.503,-0.827,1.33,-0.28,2.66
0.459,-0.496,-0.812,-0.56,0.0,2.59
0.461,-0.483,-0.799,-4.06,-0.49,4.9
-0.661,-1.139,0.857,-17.43,163.94,99.82
-0.642,-1.196,1.089,-10.57,147.84,109.13
-0.665,-1.232,1.235,-2.94,125.93,129.5
-0.675,-1.34,1.307,13.65,97.23,159.88
-0.685,-1.443,1.154,35.35,50.26,199.78
-0.605,-1.562,1.09,56.84,9.8,243.6
-0.456,-1.76,0.935,81.06,-39.97,282.59
-0.287,-2.028,0.706,110.39,-88.27,304.78
-0.256,-2.298,0.366,130.2,-119.98,305.34
-0.191,-2.568,0.039,140.14,-128.1,280.49
-0.155,-2.746,-0.284,137.76,-105.63,213.29
-0.16,-2.794,-0.598,107.94,-51.45,150.01
-0.118,-2.669,-0.838,66.64,21.84,88.48
0.045,-2.451,-0.869,34.79,89.04,37.8
0.207,-2.195,-0.673,14.91,131.67,0.49
0.423,-1.904,-0.356,-0.98,140.98,-22.82
0.583,-1.628,-0.066,-6.93,120.75,-36.05
0.662,-1.398,0.107,-9.66,76.16,-40.11
0.64,-1.216,0.123,-7.63,45.08,-37.94
0.558,-1.061,0.078,-5.95,19.25,-31.43
0.466,-0.946,0.003,-4.9,-2.24,-22.82
0.377,-0.922,-0.05,-0.84,-20.51,-16.73
0.278,-0.96,-0.117,4.55,-35.35,-15.4
0.175,-1.002,-0.22,6.23,-45.29,-19.32
0.072,-1.023,-0.337,10.15,-51.17,-24.5
-0.064,-1.029,-0.451,13.23,-49.42,-29.47
-0.207,-1.018,-0.582,11.97,-32.9,-31.64
-0.263,-0.984,-0.625,2.8,-15.61,-30.03
-0.246,-0.958,-0.569,-12.46,-4.06,-27.72
-0.171,-0.924,-0.507,-19.25,0.21,-26.74
-0.112,-0.899,-0.431,-18.27,2.8,-26.39
-0.043,-0.869,-0.349,-13.23,0.98,-24.78
0.027,-0.838,-0.322,-6.93,-1.26,-21.35
0.063,-0.861,-0.317,-2.38,-3.08,-17.78
0.098,-0.906,-0.332,1.26,-4.69,-14.63
0.116,-0.983,-0.355,7.56,-6.23,-10.29
0.134,-1.051,-0.386,11.2,-7.14,-7.98
0.148,-1.151,-0.412,12.81,-6.58,-6.3
0.14,-1.231,-0.454,11.83,-1.96,-5.39
0.184,-1.312,-0.452,9.8,1.68,-9.31
0.218,-1.405,-0.416,10.15,3.99,-19.88
0.182,-1.495,-0.405,9.17,11.83,-31.78
0.192,-1.549,-0.367,5.04,22.19,-45.71
0.226,-1.569,-0.257,4.41,28.14,-62.93
0.214,-1.565,-0.122,5.53,30.52,-80.57
0.224,-1.507,-0.017,7.49,28.07,-102.48
0.227,-1.431,0.066,7.98,22.47,-113.12
0.203,-1.359,0.124,8.12,15.75,-115.22
0.172,-1.299,0.162,6.3,6.65,-109.83
0.107,-1.247,0.162,1.47,-2.87,-97.3
0.071,-1.216,0.184,-5.53,-12.39,-78.82
0.0,-1.238,0.199,-10.08,-17.99,-60.13
-0.015,-1.341,0.273,-10.92,-26.67,-50.61
0.038,-1.453,0.298,-10.15,-36.68,-52.92
0.047,-1.577,0.25,-14.98,-44.87,-64.96
0.037,-1.654,0.226,-24.78,-51.59,-89.81
0.041,-1.698,0.222,-41.86,-59.29,-109.62
0.029,-1.623,0.172,-53.55,-66.08,-124.88
-0.02,-1.475,0.131,-66.43,-68.88,-134.89
-0.067,-1.325,0.165,-79.59,-72.38,-138.74
-0.086,-1.199,0.202,-85.05,-75.81,-136.29
-0.103,-1.085,0.183,-86.24,-81.34,-132.37
-0.103,-0.94,0.121,-80.92,-85.96,-126.56
-0.12,-0.886,0.078,-78.12,-88.76,-125.09
-0.12,-0.872,-0.022,-71.26,-90.16,-126.14
-0.099,-0.85,-0.218,-68.25,-86.8,-128.31
-0.077,-0.811,-0.326,-72.8,-82.25,-130.76
-0.016,-0.775,-0.402,-78.89,-79.17,-133.7
0.048,-0.652,-0.427,-85.68,-76.09,-133.63
0.092,-0.581,-0.364,-98.91,-75.18,-133.35
0.129,-0.479,-0.341,-106.4,-76.16,-128.87
0.2,-0.433,-0.32,-104.23,-85.4,-120.82
0.248,-0.376,-0.4,-96.46,-90.23,-119.98
0.148,-0.357,-0.505,-87.85,-92.4,-120.96
0.162,-0.355,-0.646,-74.06,-91.14,-120.54
0.148,-0.31,-0.802,-59.43,-85.89,-119.35
0.107,-0.268,-0.967,-51.87,-73.29,-116.2
0.048,-0.258,-1.044,-46.41,-60.2,-109.76
0.083,-0.243,-1.09,-40.46,-47.04,-100.87
0.149,-0.246,-1.098,-39.2,-38.22,-97.09
0.232,-0.234,-1.089,-50.12,-34.02,-100.03
0.278,-0.183,-1.13,-53.2,-30.87,-103.67
0.29,-0.101,-1.089,-55.93,-29.05,-106.75
0.263,-0.038,-1.091,-55.16,-29.89,-107.66
0.234,0.014,-1.145,-47.46,-30.45,-105.84
0.191,0.061,-1.219,-37.38,-29.96,-102.9
0.147,0.095,-1.297,-25.55,-28.98,-97.65
0.11,0.103,-1.385,-8.75,-25.48,-92.75
0.073,0.108,-1.47,-1.05,-17.64,-87.22
0.044,0.101,-1.494,3.15,-7.77,-78.68
0.06,0.043,-1.449,7.0,-0.49,-69.16
0.154,0.002,-1.395,9.24,4.48,-61.67
0.218,-0.033,-1.319,5.46,5.25,-56.56
0.311,-0.092,-1.231,-0.98,3.78,-51.87
0.391,-0.146,-1.139,-9.17,0.49,-47.53
0.464,-0.19,-1.068,-17.15,-4.55,-45.01
0.507,-0.221,-0.994,-24.43,-12.39,-42.49
0.528,-0.284,-0.967,-23.87,-21.0,-40.81
0.47,-0.302,-1.001,-22.05,-21.56,-37.66
0.398,-0.321,-1.056,-22.12,-9.52,-35.35
0.382,-0.35,-1.05,-20.86,-0.35,-36.26
0.403,-0.356,-1.029,-19.39,4.34,-40.04
0.415,-0.335,-0.992,-21.7,6.16,-46.76
0.424,-0.284,-0.958,-23.1,6.44,-48.79
0.42,-0.23,-0.906,-24.29,4.83,-46.76
0.408,-0.192,-0.872,-22.4,1.75,-42.98
0.405,-0.152,-0.856,-19.74,-1.47,-37.87
0.387,-0.131,-0.839,-16.03,-3.99,-29.96
0.367,-0.124,-0.842,-9.73,-5.46,-20.51
0.349,-0.129,-0.864,-3.43,-5.81,-9.73
0.351,-0.181,-0.873,0.84,-6.23,-4.27
0.361,-0.248,-0.893,3.64,-7.07,-2.24
0.376,-0.308,-0.923,2.73,-6.23,-3.57
0.383,-0.354,-0.935,-1.26,-3.08,-5.53
0.385,-0.374,-0.932,-4.83,-0.84,-7.49
0.393,-0.372,-0.916,-8.47,0.84,-8.96
0.403,-0.356,-0.889,-12.25,2.45,-7.14
0.414,-0.342,-0.86,-12.18,3.36,-4.06
0.421,-0.323,-0.828,-10.92,2.45,-1.4
-1.192,-0.987,0.74,25.2,151.9,123.34
-1.195,-1.325,1.151,14.07,165.83,129.22
-1.178,-1.555,1.567,14.07,161.7,145.18
